"State","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - Sufficient","OC - Deficient","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"MEGHALAYA","0.689375506893755%","52.02757502027575%","47.28304947283049%","16.05839416058394%","70.07299270072993%","13.86861313868613%","37.307380373073805%","48.276561232765616%","14.416058394160585%","98.19399350649351%","1.8060064935064934%","3.304947283049473%","96.69505271695053%","99.0470397404704%","0.7907542579075426%","0.16220600162206%"
"CHANDIGARH","0%","50%","50%","0%","50%","50%","0%","50%","50%","100%","0%","50%","50%","0%","50%","50%"
"UTTARAKHAND","2.7027027027027026%","0%","97.29729729729729%","9.945847407645703%","69.82467428019946%","20.229478312154843%","40.90811622172188%","33.98198777742039%","25.109896000857724%","71.01791268904859%","28.98208731095141%","38.686483876160324%","61.313516123839676%","25.54012759341661%","34.69147054093175%","39.76840186565164%"
"MAHARASHTRA","5.458050116668358%","13.04149335497616%","81.50045652835549%","10.245550345383956%","59.0631775323955%","30.691272122220543%","85.21945193737868%","10.40663523835934%","4.373912824261981%","52.191638601200275%","47.808361398799725%","18.19512441326402%","81.80487558673597%","13.584791488074227%","28.924411275276082%","57.49079723664969%"
"MADHYA PRADESH","0.5776961371562441%","24.400340760855098%","75.02196310198866%","4.619577770591768%","84.28287654508378%","11.097545684324453%","69.83243910326212%","28.68663670500967%","1.4809241917282068%","71.61407067151862%","28.385929328481378%","37.96332963725646%","62.03667036274354%","7.068940483890128%","62.699805968770214%","30.23125354733966%"
"HARYANA","0%","0%","100%","14.049586776859504%","72.57422711968167%","13.376186103458831%","36.02693602693603%","48.454239363330274%","15.5188246097337%","14.972443355786895%","85.0275566442131%","21.885521885521886%","78.11447811447812%","1.2549739822467094%","20.9366391184573%","77.808386899296%"
"JAMMU AND KASHMIR","15.637056442010003%","58.24720171469397%","26.11574184329602%","11.20848926997963%","83.52124686152825%","5.270263868492113%","59.39602084320227%","35.46660350544766%","5.137375651350071%","80.63221393625612%","19.367786063743885%","34.5946715380418%","65.40532846195819%","15.567188573323543%","69.01011440888742%","15.422697017789043%"
"TAMILNADU","0.07664193617342975%","0.9056261437635883%","99.01773192006299%","10.345870306455481%","67.02553621888784%","22.628593474656686%","69.5899024024024%","22.630964297630964%","7.779133299966634%","12.74142749874854%","87.25857250125146%","12.192820084991006%","87.807179915009%","11.706594478434809%","37.691228399601506%","50.602177121963685%"
"TRIPURA","0.08700696055684455%","56.351508120649655%","43.561484918793504%","2.668213457076566%","96.31670533642692%","1.0150812064965198%","31.728538283062644%","66.38631090487239%","1.8851508120649652%","89.00174114915845%","10.998258850841555%","7.136640557006093%","92.86335944299391%","81.38051044083527%","16.76334106728538%","1.8561484918793503%"
"ANDAMAN AND NICOBAR ISLANDS","0%","0%","100%","0%","0%","100%","0%","0%","100%","0%","100%","100%","0%","100%","0%","0%"
"PUDUCHERRY","0%","0.6622516556291391%","99.33774834437087%","0.6622516556291391%","91.3907284768212%","7.947019867549669%","2.6490066225165565%","77.48344370860927%","19.867549668874172%","98.01324503311258%","1.9867549668874172%","34.437086092715234%","65.56291390728477%","5.960264900662252%","77.48344370860927%","16.556291390728475%"
"SIKKIM","1.2131715771230502%","47.487001733102254%","51.2998266897747%","24.15795586527294%","65.50522648083624%","10.336817653890824%","84.80647024841133%","12.478336221837088%","2.7151935297515886%","85.26011560693641%","14.739884393063583%","12.131715771230503%","87.8682842287695%","95.64965197215777%","4.002320185614849%","0.3480278422273782%"
"WEST BENGAL","4.41016181772449%","58.14119225287163%","37.448645929403874%","38.240472896491006%","52.97237244791012%","8.787154655598876%","46.86006539783684%","33.83918839607613%","19.30074620608703%","67.61271930743916%","32.38728069256084%","15.540846858282709%","84.4591531417173%","63.91486684839589%","22.753197735374293%","13.331935416229818%"
"JHARKHAND","1.985759493670886%","32.927215189873415%","65.0870253164557%","7.882865057380293%","82.62762168579343%","9.489513256826276%","33.35443538814592%","59.04091160876791%","7.604653003086176%","60.800316957210775%","39.199683042789225%","20.123398196487898%","79.8766018035121%","74.21294099034962%","21.080525233349153%","4.706533776301218%"
"GUJARAT","1.907065706570657%","21.810306030603062%","76.28262826282628%","39.3508100810081%","58.753375337533754%","1.8958145814581457%","82.06570657065707%","16.184743474347435%","1.7495499549954996%","61.50208309875014%","38.49791690124986%","59.301147873058746%","40.698852126941254%","2.6446094980868784%","38.780103533648436%","58.575286968264685%"
"DELHI","0%","8.955223880597014%","91.04477611940298%","15.789473684210526%","66.9172932330827%","17.293233082706767%","42.53731343283582%","41.04477611940298%","16.417910447761194%","54.13533834586466%","45.86466165413534%","33.83458646616541%","66.16541353383458%","26.119402985074625%","46.26865671641791%","27.611940298507463%"
"HIMACHAL PRADESH","0.45715971095708596%","45.46527060905471%","54.0775696799882%","5.829228243021347%","80.76081007115489%","13.409961685823754%","51.635418092240315%","42.329273299575746%","6.035308608183933%","92.65350877192982%","7.3464912280701755%","5.881410256410256%","94.11858974358974%","34.06322704256193%","58.14971944710552%","7.787053510332558%"
"CHHATTISGARH","0.43837897197917036%","22.967515675369302%","76.59410535265152%","1.0232260424286759%","74.69824433065106%","24.278529626920264%","71.23171206914874%","26.489602890644374%","2.2786850402068795%","51.6621615633447%","48.3378384366553%","22.153535496669974%","77.84646450333003%","48.784074700780494%","41.23337792464364%","9.982547374575866%"
"ANDHRAPRADESH","2.652031087252624%","20.46310391795529%","76.88486499479208%","30.223656258767885%","50.671369593971704%","19.10497414726041%","76.6428328226081%","12.337519277373872%","11.019647900018025%","40.495254148857185%","59.504745851142815%","22.67091320633776%","77.32908679366224%","8.470060300098163%","32.065228278943046%","59.46471142095879%"
"ODISHA","0.3616708397917412%","11.521799610508326%","88.11652954969993%","20.11947664036882%","49.923703775851436%","29.956819583779748%","52.2028505568001%","39.047433524885555%","8.74971591831434%","40.79661843602666%","59.20338156397334%","9.58735106003052%","90.41264893996949%","83.67857142857143%","14.623376623376624%","1.698051948051948%"
"NAGALAND","5.966570763118235%","57.43252500342513%","36.60090423345664%","13.30319221811207%","63.95396629675298%","22.74284148513495%","52.98671050828881%","29.243732018084668%","17.769557473626524%","85.66918325326013%","14.330816746739876%","12.637061403508772%","87.36293859649123%","96.27929286007948%","3.5151432095381665%","0.2055639303823489%"
"ARUNACHAL PRADESH","0%","100%","0%","0%","0%","100%","0%","0%","100%","100%","0%","0%","100%","100%","0%","0%"
"LADAKH","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%"
"GOA","44.79809976247031%","38.95486935866983%","16.247030878859857%","33.760903027193436%","28.424833247819393%","37.81426372498717%","73.4916864608076%","20.19002375296912%","6.318289786223278%","91.97149643705463%","8.028503562945367%","10.736342042755345%","89.26365795724466%","86.7458432304038%","12.209026128266034%","1.0451306413301662%"
"PUNJAB","0%","84.28571428571429%","15.714285714285714%","0.8130081300813008%","46.34146341463415%","52.84552845528455%","38.57142857142857%","52.857142857142854%","8.571428571428571%","67.21311475409836%","32.78688524590164%","58.19672131147541%","41.80327868852459%","0%","0.819672131147541%","99.18032786885246%"
"RAJASTHAN","0.07598784194528875%","0.5572441742654508%","99.36676798378926%","6.614709542209706%","92.14748837513918%","1.2378020826511231%","80.95196525610528%","17.011850461578753%","2.036184282315969%","22.479537269453235%","77.52046273054677%","29.90682755460516%","70.09317244539484%","0.07638419065493987%","10.076165950110212%","89.84744985923484%"
"UTTAR PRADESH","0.10824273193160593%","1.5738301642798984%","98.31792710378849%","0.7778150294554337%","73.20465539537334%","26.017529575171224%","38.656283226529496%","53.80039656311963%","7.543320210350872%","11.413617593392875%","88.58638240660713%","56.201862283021036%","43.798137716978964%","1.2303918280517838%","51.0353881387928%","47.73422003315542%"
"MIZORAM","3.4358047016274864%","41.59132007233273%","54.97287522603978%","7.414104882459313%","88.96925858951175%","3.616636528028933%","40.21739130434783%","22.463768115942027%","37.31884057971015%","92.04339963833635%","7.956600361663653%","78.42323651452283%","21.57676348547718%","99.63898916967509%","0.36101083032490977%","0%"
"BIHAR","0.7678112965340179%","40.65548780487805%","58.57670089858793%","20.676815420542%","77.32339322542592%","1.9997913540320833%","65.61717495987159%","32.25200642054575%","2.1308186195826644%","67.84275895333414%","32.15724104666586%","26.960678685724776%","73.03932131427523%","10.45648447155444%","58.024957142287604%","31.518558386157956%"
"KARNATAKA","6.459567604454232%","32.4994571791929%","61.04097521635286%","20.80777373649639%","70.80738598028647%","8.384840283217136%","57.516942975450135%","31.86830229059723%","10.614754733952637%","53.75751700439001%","46.24248299560999%","20.69682142109385%","79.30317857890614%","33.87819667809122%","38.492734293822984%","27.629069028085794%"
"ASSAM","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%"